Número de matrimonios;;;;;;;;;;;;;;;;;;;;;;;;
Por departamento de ocurrencia;;;;;;;;;;;;;;;;;;;;;;;;
Año;República;Guatemala;El Progreso;Sacatepéquez;Chimaltenango;Escuintla;Santa Rosa;Sololá;Totonicapán;Quetzaltenango;Suchitepéquez;Retalhuleu;San Marcos;Huehuetenango;Quiché;Baja Verapaz;Alta Verapaz;Petén;Izabal;Zacapa;Chiquimula;Jalapa;Jutiapa;
2020;57,387;10,126;561;1,700;3,366;2,967;1,331;1,635;2,057;3,662;2,768;1,552;3,988;3,988;3,852;988;4,775;2,127;1,238;892;1,044;974;1,796;
2019;76,928;14,282;952;2,222;3,917;3,946;1,744;2,056;2,712;4,762;3,410;2,004;4,651;5,406;4,987;1,298;6,247;2,792;2,047;1,181;1,726;2,049;2,537;
2018;74,777;15,036;840;2,239;3,832;3,830;1,767;2,109;2,658;4,688;3,406;1,936;4,487;5,282;4,679;1,378;5,619;2,343;1,892;1,224;1,641;1,549;2,342;
2017;71,597;15,076;811;2,222;3,730;3,596;1,656;2,026;2,445;4,422;3,040;1,917;4,669;5,070;4,314;1,257;5,023;2,153;1,858;1,083;1,619;1,313;2,297;
2016;69,613;15,682;781;2,116;3,548;3,461;1,781;1,859;2,265;4,256;2,956;1,683;4,866;5,120;4,098;1,237;4,233;2,008;1,657;1,023;1,481;1,337;2,165;
2015;79,177;16,434;850;2,373;4,271;3,905;1,824;2,102;2,971;4,874;3,651;1,980;5,109;6,037;5,435;1,536;4,820;2,366;1,590;1,234;1,754;1,585;2,476;
2014;79,496;16,812;907;2,218;3,947;4,038;1,871;2,130;2,948;4,904;3,793;1,929;5,091;5,907;5,265;1,422;5,161;2,331;1,724;1,339;1,654;1,441;2,664;
2013;80,750;17,178;1,001;2,208;3,986;3,764;1,899;2,199;2,981;5,037;3,797;2,040;5,331;6,089;5,213;1,586;5,043;2,514;1,629;1,261;1,883;1,463;2,648;
2012;84,253;16,812;960;2,178;4,042;4,052;1,974;2,384;2,911;5,194;3,745;2,193;5,886;6,720;5,454;1,737;6,123;2,550;1,877;1,344;1,805;1,533;2,779;
2011;78,286;16,357;893;2,023;3,646;3,454;1,899;2,011;2,740;4,596;3,406;1,971;5,414;6,300;5,067;1,506;5,736;2,251;1,697;1,348;1,920;1,530;2,521;
2010;73,124;14,426;773;1,991;3,206;3,210;2,007;1,953;2,460;4,395;3,345;1,825;5,249;5,920;4,867;1,464;5,709;2,030;1,605;1,271;1,719;1,213;2,486;
2009;62,104;11,849;785;1,908;3,099;2,861;1,707;1,839;2,337;3,139;2,877;1,710;4,054;5,277;3,829;1,331;4,297;1,656;1,275;1,163;1,766;1,290;2,055;
2008;52,315;8,247;683;1,459;3,020;1,823;1,187;1,662;1,531;2,757;2,185;1,395;4,068;4,594;3,678;1,297;4,900;1,221;1,142;881;1,418;1,211;1,956;
2007;57,003;8,442;722;1,794;3,168;2,033;1,486;1,473;1,612;3,575;2,331;1,261;4,466;4,613;4,084;1,415;5,230;1,629;1,457;1,154;1,611;1,172;2,275;
2006;57,505;8,714;748;1,664;2,840;2,469;1,397;1,693;1,624;3,574;2,518;1,478;4,229;4,837;3,735;1,585;5,155;1,635;1,454;989;1,796;1,108;2,263;
2005;52,186;7,335;715;1,664;2,709;2,512;1,305;1,537;1,532;3,034;2,297;1,168;3,951;4,542;3,482;1,228;4,073;1,391;1,556;861;1,807;1,295;2,192;
